MarketKey,LastUpdate,Name,Description,Price,Point
batter_home_runs,2023-07-26T00:19:30Z,Over,Adley Rutschman,14,0.5
batter_home_runs,2023-07-26T00:19:30Z,Under,Adley Rutschman,1.03,0.5
batter_home_runs,2023-07-26T00:19:30Z,Over,Anthony Santander,8.5,0.5
batter_home_runs,2023-07-26T00:19:30Z,Under,Anthony Santander,1.07,0.5
batter_home_runs,2023-07-26T00:19:30Z,Over,Bryce Harper,11,0.5
batter_home_runs,2023-07-26T00:19:30Z,Under,Bryce Harper,1.05,0.5
batter_home_runs,2023-07-26T00:19:30Z,Over,Gunnar Henderson,13,0.5
batter_home_runs,2023-07-26T00:19:30Z,Under,Gunnar Henderson,1.04,0.5
batter_home_runs,2023-07-26T00:19:30Z,Over,J.T. Realmuto,13,0.5
batter_home_runs,2023-07-26T00:19:30Z,Under,J.T. Realmuto,1.04,0.5
batter_home_runs,2023-07-26T00:19:30Z,Over,Kyle Schwarber,7.5,0.5
batter_home_runs,2023-07-26T00:19:30Z,Under,Kyle Schwarber,1.09,0.5
batter_home_runs,2023-07-26T00:19:30Z,Over,Nick Castellanos,12,0.5
batter_home_runs,2023-07-26T00:19:30Z,Under,Nick Castellanos,1.04,0.5
batter_home_runs,2023-07-26T00:19:30Z,Over,Trea Turner,13,0.5
batter_home_runs,2023-07-26T00:19:30Z,Under,Trea Turner,1.04,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Kyle Schwarber,8.5,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Anthony Santander,11,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Bryce Harper,13,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,J.T. Realmuto,14,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Nick Castellanos,14,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Gunnar Henderson,14,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Austin Hays,15,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Trea Turner,16,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Jordan Westburg,15,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Ryan O'Hearn,17,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Colton Cowser,17,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Adley Rutschman,16,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Alec Bohm,18,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Bryson Stott,24,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Johan Rojas,28,0.5
batter_home_runs,2023-07-26T00:19:07Z,Over,Brandon Marsh,36,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,Anthony Santander,8,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,Anthony Santander,1.05,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,J.T. Realmuto,10.5,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,J.T. Realmuto,1.03,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,Bryce Harper,9,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,Bryce Harper,1.04,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,Gunnar Henderson,11,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,Gunnar Henderson,1.02,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,Colton Cowser,11,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,Colton Cowser,1.02,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,Nick Castellanos,10.5,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,Nick Castellanos,1.03,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,Trea Turner,10.5,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,Trea Turner,1.03,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,Austin Hays,10.5,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,Austin Hays,1.03,0.5
batter_home_runs,2023-07-26T00:17:16Z,Over,Kyle Schwarber,7,0.5
batter_home_runs,2023-07-26T00:17:16Z,Under,Kyle Schwarber,1.07,0.5
